Core Name,Task Name,Period,WCET,Utilization
CPU_0,T1-Copy1-HC,200,61,0.3048043923845638
CPU_0,T3-Copy1-HC,50,4,0.07007328874427454
CPU_0,T5-Copy1-HC,20,1,0.05523979157552702
CPU_0,T4-Copy1-HC,20,1,0.03288583406599729
CPU_0,T2-Copy1-HC,20,1,0.021055470116691694
CPU_0,T6-LC,500,184,0.3675713441741455
CPU_0,T7-LC,200,4,0.019715891574016098
CPU_0,,,,0.8713460126352159
CPU_1,T1-Copy2-HC,200,61,0.3048043923845638
CPU_1,T3-Copy2-HC,50,4,0.07007328874427454
CPU_1,T5-Copy2-HC,20,1,0.05523979157552702
CPU_1,T4-Copy2-HC,20,1,0.03288583406599729
CPU_1,T2-Copy2-HC,20,1,0.021055470116691694
CPU_1,,,,0.4840587768870543
CPU_2,T1-Copy3-HC,200,61,0.3048043923845638
CPU_2,T3-Copy3-HC,50,4,0.07007328874427454
CPU_2,T5-Copy3-HC,20,1,0.05523979157552702
CPU_2,T4-Copy3-HC,20,1,0.03288583406599729
CPU_2,T2-Copy3-HC,20,1,0.021055470116691694
CPU_2,,,,0.4840587768870543
CPU_3,T8-LC,40,33,0.8312632065267227
CPU_3,,,,0.8312632065267227
CPU_4,T10-LC,200,147,0.733812831402984
CPU_4,,,,0.733812831402984
CPU_5,T9-LC,200,119,0.5954603956609686
CPU_5,,,,0.5954603956609686
CPU_6,,,,0
CPU_7,,,,0
